iter	Passed	Remaining
0	56	55991
1	56	28127
2	56	18845
3	57	14210
4	57	11416
5	57	9562
6	58	8234
7	58	7239
8	58	6462
9	59	5845
10	59	5337
11	59	4914
12	59	4554
13	60	4246
14	60	3978
15	60	3744
16	61	3538
17	61	3355
18	61	3190
19	62	3044
20	62	2909
21	62	2787
22	62	2675
23	63	2572
24	63	2480
25	63	2394
26	64	2313
27	64	2238
28	64	2168
29	65	2102
30	65	2041
31	65	1984
32	65	1930
33	66	1878
34	66	1830
35	66	1785
36	66	1742
37	67	1701
38	67	1662
39	67	1625
40	68	1591
41	68	1557
42	69	1541
43	69	1511
44	69	1482
45	70	1454
46	70	1427
47	70	1402
48	70	1377
49	71	1354
50	71	1332
51	71	1310
52	72	1289
53	72	1269
54	72	1249
55	73	1232
56	73	1213
57	73	1196
58	73	1180
59	74	1163
60	74	1148
61	74	1133
62	75	1118
63	75	1103
64	75	1089
65	75	1074
66	76	1061
67	76	1049
68	76	1035
69	77	1023
70	77	1012
71	77	1000
72	77	989
73	78	978
74	78	967
75	78	957
76	79	947
77	79	938
78	79	928
79	79	918
80	80	909
81	80	900
82	80	889
83	80	880
84	81	872
85	81	863
86	81	855
87	81	847
88	82	840
89	82	832
90	82	825
91	82	817
92	83	810
93	83	804
94	83	797
95	84	791
96	84	784
97	84	777
98	84	771
99	84	764
100	85	758
101	85	752
102	85	747
103	86	741
104	86	735
105	86	729
106	86	724
107	87	718
108	87	713
109	87	708
110	87	703
111	88	699
112	88	693
113	88	689
114	88	684
115	89	679
116	89	674
117	89	670
118	89	665
119	90	660
120	90	656
121	90	651
122	90	646
123	90	642
124	91	638
125	91	635
126	91	630
127	91	626
128	92	623
129	92	620
130	92	616
131	93	612
132	93	608
133	93	605
134	93	602
135	94	598
136	94	595
137	94	592
138	95	589
139	95	587
140	95	584
141	96	580
142	96	577
143	96	574
144	96	571
145	97	568
146	97	565
147	97	562
148	97	559
149	98	556
150	98	553
151	98	551
152	98	548
153	99	545
154	99	542
155	99	540
156	100	537
157	100	535
158	100	532
159	101	533
160	101	530
161	102	528
162	102	525
163	102	523
164	102	521
165	103	518
166	103	516
167	103	513
168	103	511
169	104	508
170	104	506
171	104	504
172	104	501
173	105	499
174	105	497
175	105	494
176	105	492
177	106	490
178	106	488
179	106	486
180	107	484
181	107	482
182	107	480
183	107	478
184	108	476
185	109	477
186	109	476
187	109	473
188	110	472
189	110	470
190	110	468
191	110	466
192	111	464
193	111	462
194	111	461
195	111	459
196	112	460
197	113	458
198	113	456
199	113	455
200	114	453
201	114	451
202	114	449
203	114	448
204	115	446
205	115	444
206	115	443
207	115	441
208	116	439
209	116	438
210	116	436
211	117	435
212	117	433
213	117	432
214	118	430
215	118	429
216	118	427
217	118	425
218	118	424
219	119	422
220	119	421
221	119	420
222	120	419
223	120	417
224	120	416
225	121	414
226	121	412
227	121	411
228	121	410
229	122	408
230	122	407
231	122	405
232	122	404
233	123	403
234	123	401
235	123	400
236	123	398
237	124	397
238	124	395
239	124	394
240	124	393
241	125	392
242	125	391
243	125	390
244	126	388
245	126	387
246	126	386
247	126	384
248	127	383
249	127	382
250	127	381
251	127	379
252	128	378
253	128	377
254	128	376
255	129	374
256	129	373
257	129	372
258	129	371
259	130	370
260	130	368
261	130	367
262	130	366
263	130	365
264	131	364
265	131	362
266	131	361
267	132	360
268	132	359
269	132	358
270	132	357
271	133	356
272	133	355
273	133	354
274	133	353
275	134	352
276	134	350
277	134	349
278	135	349
279	135	347
280	135	346
281	135	345
282	136	344
283	136	343
284	136	342
285	136	341
286	137	340
287	137	339
288	137	338
289	137	337
290	138	336
291	138	335
292	138	334
293	139	334
294	139	333
295	139	332
296	139	331
297	140	330
298	140	329
299	140	328
300	140	327
301	141	326
302	141	325
303	141	324
304	142	323
305	142	322
306	142	321
307	142	320
308	142	319
309	143	318
310	143	318
311	143	317
312	144	316
313	144	315
314	144	314
315	144	313
316	145	312
317	145	311
318	145	311
319	145	310
320	146	309
321	146	308
322	146	307
323	147	306
324	147	306
325	147	305
326	147	304
327	148	303
328	148	302
329	148	301
330	148	300
331	149	300
332	149	299
333	149	298
334	149	297
335	150	296
336	150	296
337	150	295
338	151	294
339	151	293
340	151	293
341	151	292
342	152	291
343	152	290
344	152	289
345	152	289
346	153	288
347	153	287
348	153	286
349	153	285
350	154	285
351	154	284
352	154	283
353	154	282
354	155	282
355	155	281
356	155	280
357	156	279
358	156	279
359	156	278
360	156	277
361	157	276
362	157	276
363	157	275
364	157	274
365	158	273
366	158	273
367	158	272
